test_id,system,query,response,ground_truth,timestamp
TEST_000,baseline_rag,Where is my order ORD001?,"I’m sorry, but I couldn’t locate an order with the reference “ORD001” in our system. It may have been entered incorrectly or the order might not yet be registered. Could you double‑check the order number and let me know? If you have any other details (e.g., the email address or phone number used to place the order), that would help me locate it.",ORD001: Laptop Stand ($50.00) is currently shipped.,2025-12-03T17:53:47.311739
TEST_001,baseline_rag,Can you check the status of order ORD002?,"I’m sorry, but I couldn’t locate an order with the ID **ORD002** in our system. It may be that the order number was entered incorrectly or the order has not yet been processed. Could you double‑check the order number and let me know? If you have any other details (like the date of purchase or the email address used), that would help me locate it more quickly.",ORD002: Wireless Mouse ($120.00) is currently processing.,2025-12-03T17:53:48.902412
TEST_002,baseline_rag,Has my order ORD003 shipped yet?,Yes—your order ORD003 has already been delivered.,ORD003: USB Cable ($30.00) is currently delivered.,2025-12-03T17:53:50.254513
TEST_003,baseline_rag,When will order ORD004 arrive?,"I’m sorry, but Order ORD004 has been cancelled, so it will not arrive.",ORD004: Monitor ($75.00) is currently cancelled.,2025-12-03T17:53:51.587351
TEST_004,baseline_rag,Is order ORD005 still processing?,"Yes, order ORD005 is still in the processing stage.",ORD005: Keyboard ($200.00) is currently processing.,2025-12-03T17:53:55.682013
TEST_005,baseline_rag,I want to return order ORD001,"I’m sorry, but we can’t process a return for Order ORD001 right now because the laptop stand has already shipped. Once the item arrives at your address, you can initiate a return by going to the “My Orders” section in your account and selecting “Return” for that item. If you need any help once it arrives, let us know!",Refund initiated for ORD001,2025-12-03T17:54:03.261989
TEST_006,baseline_rag,Can I get a refund for order ORD002?,"I’m sorry, but I can’t locate order ORD002 in our system. Could you double‑check the order number or provide any additional details (such as the date of purchase or the email used)? Once I have the correct information, I’ll be happy to help you with a refund.",Refund initiated for ORD002,2025-12-03T17:54:06.437926
TEST_007,baseline_rag,"I received the wrong product, please refund order ORD003","I’m not sure why you received the wrong item—our records show that Order ORD003 was for a USB Cable that was delivered. Could you let me know what you actually received or why it’s not what you expected? Once I have that information, I can help you with a refund or replacement.",Refund initiated for ORD003,2025-12-03T17:54:10.020413
TEST_008,baseline_rag,"The item in order ORD004 is broken, initiate refund","I’m sorry to hear about the issue. Because Order ORD004 was cancelled before the item was shipped, we can’t process a refund for it. If you have any other questions or need assistance with a different order, please let me know.",Refund initiated for ORD004,2025-12-03T17:54:13.808218
TEST_009,baseline_rag,"I'm not satisfied with order ORD005, can I return it?","Error: Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'openai/gpt-oss-20b:free is temporarily rate-limited upstream. Please retry shortly, or add your own key to accumulate your rate limits: https://openrouter.ai/settings/integrations', 'provider_name': 'Chutes'}}, 'user_id': 'user_34WO1zmbUOjstPjIuYK3vltCLMc'}",Refund initiated for ORD005,2025-12-03T17:54:16.069894
